,p_before,p_chamber_pressure_predischarge,t_cd_discharge_request,U_Bt_final,U_CD_final,b_plasma
40000,0.90,94.10,"1500
",1005,529,0.000
40001,0.92,16.30,"1500
",1009,513,1.000
40002,0.93,25.70,"1500
",1018,520,1.000
40003,0.93,28.30,"1500
",1013,516,1.000
40004,0.92,19.50,"1500
",1019,628,1.000
40005,0.92,22.40,"1500
",1002,670,1.000
40006,0.92,20.90,"1500
",1015,768,1.000
40007,0.91,14.80,"1000
",821,475,1.000
40008,0.92,20.70,"1500
",1004,717,1.000
40009,0.91,20.00,"1500
",1004,773,1.000
40010,0.91,20.80,"1500
",1018,476,0.000
40011,0.90,25.90,"1500
",1002,526,1.000
40012,0.90,18.90,"1500
",1005,528,1.000
40013,0.98,4.32,"500
",817,517,1.000
40014,0.96,13.40,"500
",825,523,1.000
40015,0.96,12.60,"500
",811,509,1.000
40016,0.95,0.95,"500
",812,509,0.000
40017,0.93,14.20,"500
",814,514,1.000
40018,0.93,15.70,"500
",812,509,1.000
40019,0.94,15.70,"500
",812,532,1.000
40020,0.93,15.30,"500
",818,516,1.000
40021,0.94,14.00,"500
",801,525,1.000
40022,0.93,16.30,"500
",812,528,1.000
40023,0.94,15.50,"500
",826,517,1.000
40024,0.91,14.70,"500
",826,520,1.000
40025,0.91,11.10,"500
",801,519,1.000
40026,0.91,12.60,"500
",812,511,1.000
40027,0.92,15.00,"500
",823,517,1.000
40028,0.92,13.50,"500
",816,510,1.000
40029,0.91,15.00,"500
",804,524,1.000
40030,0.91,16.10,"500
",809,525,1.000
40031,0.90,15.00,"500
",814,500,1.000
40032,0.90,15.30,"500
",809,501,1.000
40033,3.26,4.19,"1000
",812,480,0.000
40034,1.57,10.20,"0
",811,504,1.000
40035,1.03,24.90,"1000
",903,503,1.000
40036,1.02,16.80,"0
",810,616,1.000
40037,1.02,14.60,"0
",770,570,1.000
40038,0.93,15.30,"1000
",818,480,
40039,0.93,10.30,"1000
",818,478,1.000
40040,0.94,16.20,"0
",821,520,1.000
40041,0.94,19.40,"1000
",810,429,1.000
40042,0.94,9.97,"200
",1159,566,1.000
40043,0.94,10.40,"300
",1101,577,1.000
40044,0.94,10.00,"200
",1213,552,1.000
40045,0.93,10.70,"1000
",1152,508,1.000
40046,0.93,10.20,"200
",1113,526,1.000
40047,0.93,12.00,"200
",1213,522,1.000
40048,0.93,12.60,"200
",1116,453,1.000
40049,0.91,0.91,"0
",602,404,0.000
40050,0.91,0.91,"0
",415,811,0.000
40051,0.91,10.20,"0
",608,413,1.000
40052,0.91,0.91,"0
",531,411,0.000
40053,0.91,0.91,"0
",715,421,0.000
40054,0.91,5.02,"1000
",815,506,1.000
40055,0.92,7.33,"1000
",812,500,1.000
40056,0.92,,"1000
",810,545,0.000
40057,0.92,14.40,"1000
",822,520,1.000
40058,0.92,18.10,"1000
",828,524,1.000
40059,0.92,21.00,"1000
",815,505,1.000
40060,0.92,24.50,"1000
",814,505,1.000
40061,0.91,17.30,"1000
",1011,428,1.000
40062,0.92,16.50,"1000
",1006,500,1.000
40063,0.91,15.80,"1000
",1002,612,1.000
40064,0.91,16.00,"1000
",1017,702,1.000
40065,0.91,11.60,"1000
",1008,527,1.000
40066,0.91,9.07,"1000
",1009,505,1.000
40067,0.91,19.00,"1000
",1007,530,1.000
40068,0.91,19.90,"1000
",1002,527,1.000
40069,0.94,16.30,"1000
",1020,523,1.000
40070,0.91,14.70,"1000
",1017,507,1.000
40071,7.01,6.35,"1000
",812,483,1.000
40072,4.17,18.90,"1000
",813,417,1.000
40073,3.23,16.40,"0
",626,431,1.000
40074,3.49,11.40,"1000
",813,473,1.000
40075,1.21,13.70,"0
",808,456,1.000
40076,1.17,18.60,"0
",807,458,1.000
40077,1.17,31.90,"0
",802,485,1.000
40078,1.21,13.20,"0
",812,464,1.000
40079,1.22,488.00,"0
",824,477,0.000
40080,1.12,171.00,"0
",822,557,0.000
40081,1.12,2.06,"0
",818,660,1.000
40082,1.11,19.50,"0
",826,564,1.000
40083,1.14,16.30,"0
",811,657,1.000
40084,1.14,13.40,"0
",814,384,1.000
40085,1.13,18.50,"0
",818,289,0.000
40086,1.12,17.90,"0
",800,177,0.000
40087,1.04,18.90,"0
",905,479,1.000
40088,1.09,17.90,"0
",1003,473,1.000
40089,1.10,19.50,"0
",1105,479,1.000
40090,1.10,19.70,"0
",709,455,1.000
40091,1.11,19.20,"0
",605,456,1.000
40092,1.08,18.60,"0
",802,283,0.000
40093,1.12,18.90,"0
",814,179,0.000
40094,1.02,18.60,"0
",800,328,1.000
40095,1.03,19.40,"0
",803,332,1.000
40096,1.03,19.70,"0
",721,309,1.000
40097,1.06,18.80,"0
",617,301,0.000
40098,1.07,17.80,"0
",919,257,0.000
40099,1.02,18.30,"0
",1004,701,1.000
40100,1.10,17.90,"0
",1100,715,1.000
40101,1.01,18.60,"0
",1007,265,0.000
40102,1.04,18.20,"0
",918,713,1.000
40103,1.04,4.80,"0
",810,723,0.000
40104,0.99,17.70,"0
",711,711,0.000
40105,1.02,18.60,"0
",1202,701,1.000
40106,0.99,18.50,"0
",1206,703,1.000
40107,0.99,11.10,"0
",1210,721,1.000
40108,0.98,33.40,"0
",1212,717,1.000
40109,0.97,19.40,"12000
",1212,716,0.000
40110,1.02,19.00,"0
",1201,717,1.000
40111,1.03,18.20,"5000
",1200,700,0.000
40112,1.01,19.00,"5000
",1202,700,0.000
40113,1.00,18.80,"5000
",1204,721,0.000
40114,1.01,18.70,"1000
",1204,726,1.000
40115,0.96,18.80,"2000
",1101,454,0.000
40116,0.96,21.10,"0
",1207,459,1.000
40117,0.96,10.80,"1000
",1211,462,0.000
40118,0.97,11.60,"0
",1212,467,1.000
40119,1.00,11.40,"0
",1211,380,1.000
40120,1.05,11.30,"0
",1201,555,1.000
40121,1.04,14.00,"1000
",810,470,1.000
40122,1.04,11.20,"1000
",809,467,1.000
40123,0.96,14.30,"0
",1016,512,1.000
40124,0.91,13.70,"1000
",,,0.000
40125,0.91,10.40,"1000
",256,256,0.000
40126,0.91,10.90,"1000
",232,232,0.000
40127,0.91,10.90,"1000
",802,453,1.000
40128,0.93,11.30,"1000
",815,470,1.000
40129,10.60,7.97,"1000
",811,466,0.000
40130,2.20,12.70,"1000
",805,416,1.000
40131,1.53,11.80,"0
",1005,513,1.000
40132,0.93,13.10,"1000
",830,523,1.000
